"","retweeted_status.user.screen_name","n"
"589","Freebiesource1",2
"590","freedubya",2
"591","FunJapanTravel",2
"592","gabriellejwhite",2
"593","GADISSchoolZone",2
"594","GangstaZomber",2
"595","GCMakeup",2
"596","GeekFilter",2
"597","GeoFunk_",2
"598","GossipRoomOff",2
"599","Groupon__CL",2
"600","grubstreet",2
"601","GuideMarcoPolo",2
"602","_gwopgoddess",2
"603","HamBabyOfficial",2
"604","haydennmooree",2
"605","hayley_verbison",2
"606","hebaalb_",2
"607","HeyWhitney",2
"608","____hinako4",2
"609","HPLifestyle",2
"610","Huysinga",2
"611","IamJackBoot",2
"612","idcbitchess",2
"613","imMohanMahesh",2
"614","Indepgirlism",2
"615","indigopisces",2
"616","IndraMuliaLEE",2
"617","InsaneCrazyGuy",2
"618","inVINZibleTing",2
"619","ItsHimMichael",2
"620","itsnickhorton",2
"621","IvyKyraKareyD",2
"622","jacobgershman",2
"623","JanosMedyx",2
"624","javachris",2
"625","jaydengeddes",2
"626","Jeffwni",2
"627","JellybeanJhc",2
"628","_Jencita_",2
"629","JennMeyering84",2
"630","jennxhans",2
"631","jerryjamesstone",2
"632","Jerrysixxx",2
"633","jessica_rabaey",2
"634","JettzenShea",2
"635","jmgolden96",2
"636","JOAQUINonadream",2
"637","JoeyGraceffa",2
"638","JOMEjen",2
"639","JoshuaSmitt",2
"640","jrvictorio29",2
"641","jwbutta",2
"642","k92zack",2
"643","KaliGirl86",2
"644","kamaldb",2
"645","KantaponT",2
"646","KartuKreditBCA",2
"647","kattmadisen",2
"648","kelseyyxo1",2
"649","KerickSullivan",2
"650","KimSwagNYC",2
"651","KITV4",2
"652","KleinesFenster",2
"653","Kryzazy",2
"654","leomsoaress14",2
"655","Leslyyacquelin",2
"656","LGPineapple",2
"657","liannemarije",2
"658","liberatesarrah",2
"659","lilemailtrapper",2
"660","Lilyhzt",2
"661","lilytoutsourire",2
"662","limehyeob",2
"663","Liquid_atheist",2
"664","LittleJorden",2
"665","llufituaeb",2
"666","Local4News",2
"667","loitersquvdvids",2
"668","lomiyou",2
"669","LongLiveDTG",2
"670","love_starbucksJ",2
"671","lowkeypaege",2
"672","LVRGLLC",2
"673","lzimmlive",2
"674","macypavelock",2
"675","madisonnaddiee",2
"676","madly_madi",2
"677","marianperez93",2
"678","mariopgrant",2
"679","MatthewFawcus",2
"680","maurosicard",2
"681","Max_McKerlie",2
"682","_mayrraa",2
"683","_meggann_",2
"684","melissaavarela",2
"685","mersaultjude",2
"686","Mikey_1007",2
"687","mikeyfrieds",2
"688","MillarMatthews",2
"689","MissGongjuHS",2
"690","_____miu0311",2
"691","mmarie36",2
"692","mmaxinelucille",2
"693","mollyligonn",2
"694","mtlblog",2
"695","myvancity",2
"696","mywhirlwindmind",2
"697","MzspellDena",2
"698","nandojkcolas",2
"699","NayyPettyyy",2
"700","nhnnm",2
"701","nickbuteraa",2
"702","nikfenton",2
"703","OfficialNOWEnt",2
"704","OrangeBrew",2
"705","OurFamilyNest",2
"706","outofcontroljb",2
"707","oxSmolKitty",2
"708","____PantheR",2
"709","PayasoSinGracia",2
"710","PeopleFood",2
"711","phiberoptik",2
"712","PhillipTaborn",2
"713","PIX11News",2
"714","PizzaTacoDonut",2
"715","PokemonGoApp",2
"716","PrinceeOfNarnia",2
"717","princessaley__",2
"718","queengengar",2
"719","QUT_IP",2
"720","Rabbitxingxing",2
"721","RaquelCiampi",2
"722","RinbowO",2
"723","RocketNews24En",2
"724","rolistespod",2
"725","ronfeir",2
"726","rukunektar",2
"727","rule2_rule",2
"728","ryanthemaker",2
"729","saaasdfghjkl",2
"730","sapongnoona",2
"731","Sarais_thoughts",2
